Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
La Vall d'Albaida - Corts Valencianes;241;T;7;8;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4018904586642118, 39.49297840711153], ""type"": ""Point""}";39.49297840711153, -0.4018904586642118;2025-11-19T13:18:52+01:00
Albacete - Maluquer;243;T;3;15;18;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3845424236611566, 39.46282029901061], ""type"": ""Point""}";39.46282029901061, -0.3845424236611566;2025-11-19T13:21:16+01:00
San Vicente Paul - Santiago Rusiñol;232;T;11;4;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36575333473149996, 39.49464439592328], ""type"": ""Point""}";39.49464439592328, -0.36575333473149996;2025-11-19T13:20:43+01:00
José Meliá Castelló - Campos Crespo;253;T;8;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}";39.45272627278094, -0.4011014879360589;2025-11-19T13:21:30+01:00
Tomas de Villarroya - San Vicente;255;T;2;16;18;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38602944085901075, 39.447703249066144], ""type"": ""Point""}";39.447703249066144, -0.38602944085901075;2025-11-19T13:22:55+01:00
Beniferri - Vicent Tomás Martí;267;T;3;12;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4059294716064297, 39.49416841275147], ""type"": ""Point""}";39.49416841275147, -0.4059294716064297;2025-11-19T13:25:37+01:00
Veles e Vents;276;T;19;1;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.32376521655842594, 39.46197526682713], ""type"": ""Point""}";39.46197526682713, -0.32376521655842594;2025-11-19T13:25:48+01:00
Vicent Vidal - Pintor Maella;61;T;2;18;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964, -0.34783029886743094;2025-11-19T13:25:01+01:00
Av Puerto 19 (Telefónica);63;T;17;2;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.358414330727018, 39.46777930285978], ""type"": ""Point""}";39.46777930285978, -0.358414330727018;2025-11-19T13:28:27+01:00
Juan Verdeguer - Toneleros;67;T;6;8;14;F;19/11/2025 12:29:32;"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}";39.45886026320377, -0.33679826304022287;2025-11-19T13:26:35+01:00
Blasco Ibañez - Poeta Durán Tortajada;93;T;0;38;38;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34380927742382206, 39.472282310670764], ""type"": ""Point""}";39.472282310670764, -0.34380927742382206;2025-11-19T13:25:18+01:00
Aragón - Ernesto Ferrer;79;T;2;18;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}";39.4727793187067, -0.357242322435451;2025-11-19T13:27:44+01:00
Blasco Ibañez 121;97;T;0;20;23;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3431322739648798, 39.47306831276613], ""type"": ""Point""}";39.47306831276613, -0.3431322739648798;2025-11-19T13:27:15+01:00
Guillem de Castro (Torres de Quart);82;T;7;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3839144104057024, 39.47605634238628], ""type"": ""Point""}";39.47605634238628, -0.3839144104057024;2025-11-19T13:19:45+01:00
Plaza San Felipe Neri (Mercado Algirós);74;T;5;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3537343124957471, 39.469949307546806], ""type"": ""Point""}";39.469949307546806, -0.3537343124957471;2025-11-19T13:27:12+01:00
Blasco Ibañez, 28 (F. Geografía e Historia);88;T;20;20;40;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844, -0.36114233248377353;2025-11-19T13:26:44+01:00
Blasco Ibañez, 32 (F. Filología);90;T;35;5;40;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3589673254467337, 39.47673433298103], ""type"": ""Point""}";39.47673433298103, -0.3589673254467337;2025-11-19T13:28:37+01:00
Av. Puerto - José Aguilar;68;T;4;16;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022;2025-11-19T13:28:29+01:00
Juan Llorens - Quart;19;T;4;11;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.391590438798602, 39.47436934054566], ""type"": ""Point""}";39.47436934054566, -0.391590438798602;2025-11-19T13:27:28+01:00
Plaza del Musico López Chavarri;3;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3802883976424855, 39.4768353435743], ""type"": ""Point""}";39.4768353435743, -0.3802883976424855;2025-11-19T13:21:00+01:00
Plaza Poeta Llorente;5;T;14;1;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3711403661399108, 39.476895339123786], ""type"": ""Point""}";39.476895339123786, -0.3711403661399108;2025-11-19T13:27:37+01:00
Plaza de Tetuán;9;T;10;13;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}";39.47435533016869, -0.3699303648826442;2025-11-19T13:19:44+01:00
Plaza de la Virgen - Bailía;4;T;24;0;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37534238089458904, 39.476747340831494], ""type"": ""Point""}";39.476747340831494, -0.37534238089458904;2025-11-19T13:26:24+01:00
Guillem de Castro - San Pedro Pascual;6;T;8;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38408341393871137, 39.472798331478145], ""type"": ""Point""}";39.472798331478145, -0.38408341393871137;2025-11-19T13:24:29+01:00
Colón, 60;16;T;19;0;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}";39.470092316192336, -0.3704333693720587;2025-11-19T13:25:17+01:00
Fernando el Católico - Cuenca;24;T;5;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}";39.469077319212495, -0.3840274173384119;2025-11-19T13:23:16+01:00
Cirilo Amorós - Jorge Juan (Mercado Colón);30;T;19;1;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36849936365579583, 39.468601309884924], ""type"": ""Point""}";39.468601309884924, -0.36849936365579583;2025-11-19T13:21:13+01:00
Plaza América - Cirilo Amorós - Sorní;29;T;14;5;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3652993525279599, 39.47011231364647], ""type"": ""Point""}";39.47011231364647, -0.3652993525279599;2025-11-19T13:27:47+01:00
Germanías - Ruzafa;33;T;16;4;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37399038562310283, 39.46481830023885], ""type"": ""Point""}";39.46481830023885, -0.37399038562310283;2025-11-19T13:25:10+01:00
Regne de Valencia - Almirante Cadarso;35;T;7;3;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36699436340059455, 39.46374929341137], ""type"": ""Point""}";39.46374929341137, -0.36699436340059455;2025-11-19T13:26:07+01:00
General Urrutia - Granada;41;T;6;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36477635908979195, 39.458912276426375], ""type"": ""Point""}";39.458912276426375, -0.36477635908979195;2025-11-19T13:25:38+01:00
Escultor José Capuz - Oriente;43;T;0;19;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}";39.459477276259406, -0.36115334583643566;2025-11-19T13:23:04+01:00
