Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Pintor Rafael Solves - Jose Soto Mico;258;T;10;5;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3891374575312111, 39.43982822413676], ""type"": ""Point""}";39.43982822413676, -0.3891374575312111;2025-11-19T13:26:45+01:00
Ninot - Regino Mas;270;T;0;16;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39288942312141745, 39.50007542649037], ""type"": ""Point""}";39.50007542649037, -0.39288942312141745;2025-11-19T13:28:21+01:00
Corts Valencianes - La Safor;226;T;4;26;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3988594505654264, 39.49086439918327], ""type"": ""Point""}";39.49086439918327, -0.3988594505654264;2025-11-19T13:26:30+01:00
Levante U.D. - Ecuador;237;T;10;5;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39103842063587124, 39.494758407776374], ""type"": ""Point""}";39.494758407776374, -0.39103842063587124;2025-11-19T13:26:02+01:00
Florista - T4 (Palau de Congressos);239;T;5;15;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39996444953107335, 39.4969854198013], ""type"": ""Point""}";39.4969854198013, -0.39996444953107335;2025-11-19T13:28:31+01:00
Nueve de Octubre - Cieza;245;T;11;9;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}";39.47213024806011, -0.40527029936434095;2025-11-19T13:26:48+01:00
Plaza Músico Espí;234;T;8;6;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3736443597891149, 39.49649940567526], ""type"": ""Point""}";39.49649940567526, -0.3736443597891149;2025-11-19T13:23:10+01:00
Arquitecto Segura del Lago - Camino Nuevo de Picaña;251;T;6;8;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}";39.45583028505104, -0.4044134972721287;2025-11-19T13:20:54+01:00
Pio IX - Músico Cabanilles;259;T;9;11;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}";39.44546024514969, -0.3930154660803912;2025-11-19T13:26:42+01:00
Alcasser - Poeta Alberto Lista;265;T;10;5;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40811749816977394, 39.470973337167365], ""type"": ""Point""}";39.470973337167365, -0.40811749816977394;2025-11-19T13:24:16+01:00
