Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Quart - Fernando el Católico;20;T;6;10;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3878474253260651, 39.47503434099054], ""type"": ""Point""}";39.47503434099054, -0.3878474253260651;2025-11-19T13:18:59+01:00
Conde Altea - Almirante Cadarso;32;T;17;3;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}";39.46600630156446, -0.3682473649948816;2025-11-19T13:27:32+01:00
Plaza de los Fueros - Conde Trenor;36;T;11;13;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3754363798581042, 39.479072348860946], ""type"": ""Point""}";39.479072348860946, -0.3754363798581042;2025-11-19T13:27:03+01:00
Peris y Valero - Cabo Jubi;38;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37024937736936264, 39.45940204927687], ""type"": ""Point""}";39.45940204927687, -0.37024937736936264;2025-11-19T13:27:17+01:00
Juan Llorens - Literato Gabriel Miró;21;T;3;13;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39021443540491124, 39.4723713328859], ""type"": ""Point""}";39.4723713328859, -0.39021443540491124;2025-11-19T13:19:04+01:00
San Vicente Martir - Doctor Vilá Barberá;27;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3818514137102655, 39.463362299305594], ""type"": ""Point""}";39.463362299305594, -0.3818514137102655;2025-11-19T13:25:33+01:00
Peris y Valero - Cuba;39;T;0;19;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3739313916673185, 39.457854277261184], ""type"": ""Point""}";39.457854277261184, -0.3739313916673185;2025-11-19T13:18:49+01:00
Hermanos Maristas - General Urrutia;45;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36185535292343096, 39.45381925759081], ""type"": ""Point""}";39.45381925759081, -0.36185535292343096;2025-11-19T13:25:14+01:00
Pintor Luis Arcas - Inst. Obrero Valenciano;46;T;5;15;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35878734087160885, 39.455509261762266], ""type"": ""Point""}";39.455509261762266, -0.35878734087160885;2025-11-19T13:25:55+01:00
Luis García Berlanga Martí - Menorca;52;T;18;7;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3463402980947426, 39.45603425797373], ""type"": ""Point""}";39.45603425797373, -0.3463402980947426;2025-11-19T13:23:26+01:00
Plaza de Europa;54;T;10;8;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3526903171951741, 39.459778273617445], ""type"": ""Point""}";39.459778273617445, -0.3526903171951741;2025-11-19T13:27:40+01:00
Plaza España;58;T;13;7;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}";39.46621830848607, -0.3815864106638383;2025-11-19T13:27:55+01:00
Baleares - Lebón;60;T;2;17;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3517763125261459, 39.46223128102797], ""type"": ""Point""}";39.46223128102797, -0.3517763125261459;2025-11-19T13:26:00+01:00
Menorca - Baleares;62;T;17;3;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}";39.45981126842254, -0.3421522812931475;2025-11-19T13:23:08+01:00
Blasco Ibañez - Clariano;94;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35158330144926053, 39.47537832465668], ""type"": ""Point""}";39.47537832465668, -0.35158330144926053;2025-11-19T13:27:06+01:00
Justo y Pastor - Duque de Gaeta;98;T;3;12;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.348442294427372, 39.469680303996114], ""type"": ""Point""}";39.469680303996114, -0.348442294427372;2025-11-19T13:26:25+01:00
C/Xàtiva 30-32;148;T;0;0;35;F;13/06/2025 02:07:14;"{""coordinates"": [-0.3753782937388751, 39.46714522461298], ""type"": ""Point""}";39.46714522461298, -0.3753782937388751;2025-06-12T16:03:57+02:00
Economista Gay - Luis Crumiere;137;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3798963873712934, 39.48903338344832], ""type"": ""Point""}";39.48903338344832, -0.3798963873712934;2025-11-19T13:25:21+01:00
Perez Galdós - Nou Moles;201;T;1;19;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39366844724894096, 39.47171233289752], ""type"": ""Point""}";39.47171233289752, -0.39366844724894096;2025-11-19T13:20:22+01:00
Marino Blas de Lezo (estación Cabañal Adif);101;T;3;27;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3348422811122132, 39.47022899172744], ""type"": ""Point""}";39.47022899172744, -0.3348422811122132;2025-11-19T13:28:33+01:00
Albalat dels Tarongers - Professor Ernest Lluch;106;T;17;8;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283, -0.34138726522688073;2025-11-19T13:25:50+01:00
Manuel Broseta i Pont - Naranjos;112;T;36;4;40;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34227526701990957, 39.47858033137406], ""type"": ""Point""}";39.47858033137406, -0.34227526701990957;2025-11-19T13:28:15+01:00
Bombero Ramón Duart - Hermanos Maristas;184;T;0;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36557036636455215, 39.45278225629358], ""type"": ""Point""}";39.45278225629358, -0.36557036636455215;2025-11-19T13:23:39+01:00
Benifairó de Valldigna - Joaquín Benlloch;186;T;1;13;14;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3740153970137416, 39.45039125246078], ""type"": ""Point""}";39.45039125246078, -0.3740153970137416;2025-11-19T13:27:48+01:00
Estación AVE Joaquín Sorolla;194;T;2;38;40;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38179930448705707, 39.4607722298068], ""type"": ""Point""}";39.4607722298068, -0.38179930448705707;2025-11-19T13:27:43+01:00
Jerónimo Muñoz - Gaspar Aguilar;196;T;5;9;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3880664379854734, 39.45957528956863], ""type"": ""Point""}";39.45957528956863, -0.3880664379854734;2025-11-19T13:24:46+01:00
Albalat dels Tarongers - Paseo Facultades;104;T;4;16;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3472752845405608, 39.478386332978474], ""type"": ""Point""}";39.478386332978474, -0.3472752845405608;2025-11-19T13:27:55+01:00
Zapadores, 23;181;T;5;10;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}";39.45799927509706, -0.3681913713233589;2025-11-19T13:18:44+01:00
Ausias March - Av. de la Plata;183;T;0;18;18;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3722843899417025, 39.45262025913349], ""type"": ""Point""}";39.45262025913349, -0.3722843899417025;2025-11-19T13:21:43+01:00
Ebanista Caselles - Ausias March;185;T;1;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3705033850186671, 39.45004424948915], ""type"": ""Point""}";39.45004424948915, -0.3705033850186671;2025-11-19T13:27:01+01:00
Hospital Nueva Fe (administración);189;T;6;23;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37706532415787625, 39.44477922701873], ""type"": ""Point""}";39.44477922701873, -0.37706532415787625;2025-11-19T13:28:28+01:00
Giorgeta - Roig de Corella;195;T;0;0;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3842814248129742, 39.459384287208486], ""type"": ""Point""}";39.459384287208486, -0.3842814248129742;2025-11-19T13:22:45+01:00
Fontanars dels Aforins - Jacinto Labaila;197;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39233345436447337, 39.458184286737165], ""type"": ""Point""}";39.458184286737165, -0.39233345436447337;2025-11-19T13:21:15+01:00
Beato Nicolás Factor - Convento de Jesús;199;T;3;12;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39155844823975844, 39.46158829801141], ""type"": ""Point""}";39.46158829801141, -0.39155844823975844;2025-11-19T13:18:47+01:00
UPV Galileo;111;T;11;19;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3395082613341325, 39.48066419504159], ""type"": ""Point""}";39.48066419504159, -0.3395082613341325;2025-11-19T13:26:05+01:00
Gascó Oliag - Primado Reig;117;T;20;10;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.357065317141581, 39.47925133992885], ""type"": ""Point""}";39.47925133992885, -0.357065317141581;2025-11-19T13:27:03+01:00
Pío XII - Campanar;172;T;1;19;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3933454386575609, 39.48146236504626], ""type"": ""Point""}";39.48146236504626, -0.3933454386575609;2025-11-19T13:22:49+01:00
Manuel Candela - Rodriguez de Cepeda;150;T;3;22;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35060930364544307, 39.46772129856667], ""type"": ""Point""}";39.46772129856667, -0.35060930364544307;2025-11-19T13:27:45+01:00
Av. de la Plata - Zapadores;179;T;0;22;23;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36642636792637634, 39.45547226612543], ""type"": ""Point""}";39.45547226612543, -0.36642636792637634;2025-11-19T13:28:03+01:00
Maximiliano Thous - Luz Casanova;134;T;11;9;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37333936513208965, 39.48765637635625], ""type"": ""Point""}";39.48765637635625, -0.37333936513208965;2025-11-19T13:26:21+01:00
Jaime Roig - Bachiller;119;T;9;10;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36322633473676447, 39.48252035422283], ""type"": ""Point""}";39.48252035422283, -0.36322633473676447;2025-11-19T13:25:59+01:00
Albocácer - Vinaroz;123;T;3;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}";39.487671371814656, -0.36484133609518726;2025-11-19T13:20:31+01:00
Almazora - Benimuslem;129;T;6;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3699453557741905, 39.485975369089516], ""type"": ""Point""}";39.485975369089516, -0.3699453557741905;2025-11-19T13:28:07+01:00
Constitución - Reus;135;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}";39.48570237196362, -0.37850138478156414;2025-11-19T13:28:23+01:00
Doctor Waksman - Nieves;180;T;3;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3706833820688013, 39.45602126922772], ""type"": ""Point""}";39.45602126922772, -0.3706833820688013;2025-11-19T13:20:46+01:00
Plaza Badajoz;145;T;1;12;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.398395456094638, 39.48154736759815], ""type"": ""Point""}";39.48154736759815, -0.398395456094638;2025-11-19T13:26:16+01:00
Alfahuir - José Chabas Bordehore;126;T;13;7;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36010431604895277, 39.49309838788837], ""type"": ""Point""}";39.49309838788837, -0.36010431604895277;2025-11-19T13:27:16+01:00
Campanar - Nicasio Benlloch;140;T;3;16;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3896004206542252, 39.48800438494039], ""type"": ""Point""}";39.48800438494039, -0.3896004206542252;2025-11-19T13:28:22+01:00
Marqués de San Juan - Diputat Lluís Lucía;144;T;1;14;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39548044804080085, 39.4787793569025], ""type"": ""Point""}";39.4787793569025, -0.39548044804080085;2025-11-19T13:22:00+01:00
Pie de la Cruz - Rejas;147;T;2;12;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}";39.47320133107913, -0.3802074001545322;2025-11-19T13:25:37+01:00
Pescadores - Progreso;154;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3295542305651281, 39.469876296228996], ""type"": ""Point""}";39.469876296228996, -0.3295542305651281;2025-11-19T13:27:04+01:00
Mediterráneo - Plaza Cruz de Cañamelar;161;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3317262387298495, 39.46796929073871], ""type"": ""Point""}";39.46796929073871, -0.3317262387298495;2025-11-19T13:21:54+01:00
Paseo Neptuno 32-34;163;T;12;8;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3234012136184579, 39.46443727525528], ""type"": ""Point""}";39.46443727525528, -0.3234012136184579;2025-11-19T13:24:06+01:00
Pavía - Espadán;165;T;2;18;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3245702116150898, 39.471409299035706], ""type"": ""Point""}";39.471409299035706, -0.3245702116150898;2025-11-19T13:23:11+01:00
Monduber - Peset Aleixandre;174;T;4;15;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38664740957644866, 39.489438388167024], ""type"": ""Point""}";39.489438388167024, -0.38664740957644866;2025-11-19T13:22:36+01:00
Cno. Moncada - Pedro Patricio Mey;176;T;6;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.378853381402734, 39.49201739310727], ""type"": ""Point""}";39.49201739310727, -0.378853381402734;2025-11-19T13:25:22+01:00
Armada Española - Mariano Cuber;162;T;16;2;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3297952360224295, 39.46360427573933], ""type"": ""Point""}";39.46360427573933, -0.3297952360224295;2025-11-19T13:24:50+01:00
Pío XII - Monestir de Poblet;173;T;10;10;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.394678441209281, 39.484541375368174], ""type"": ""Point""}";39.484541375368174, -0.394678441209281;2025-11-19T13:25:01+01:00
Alcudia de Crespins - Pedro Patricio Mey;177;T;1;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3734883620528129, 39.493545396079504], ""type"": ""Point""}";39.493545396079504, -0.3734883620528129;2025-11-19T13:28:37+01:00
CALLE SANTA AMALIA  2, esquina POETA BODRIA;131;T;14;6;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3729122732215235, 39.48141722170027], ""type"": ""Point""}";39.48141722170027, -0.3729122732215235;2025-11-19T13:23:32+01:00
Aitana - Florista;229;T;1;15;16;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}";39.493104403991694, -0.39480643424749534;2025-11-19T13:26:47+01:00
Tres Cruces - Músico Ayllón;247;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4055734914728698, 39.467410323935766], ""type"": ""Point""}";39.467410323935766, -0.4055734914728698;2025-11-19T13:24:15+01:00
Corts Valencianes - General Avilés;204;T;14;6;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}";39.485843380594176, -0.3965874461307865;2025-11-19T13:19:36+01:00
Fray Juanípero Serra - Torrente;212;T;8;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}";39.46148430130945, -0.40039647823746194;2025-11-19T13:19:08+01:00
Santa Cruz de Tenerife, 21;214;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4005764763988502, 39.464932313028335], ""type"": ""Point""}";39.464932313028335, -0.4005764763988502;2025-11-19T13:22:56+01:00
Olimpia Arozena Torres - Juan Bautista Vives;218;T;5;10;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3973844614710405, 39.47074033078547], ""type"": ""Point""}";39.47074033078547, -0.3973844614710405;2025-11-19T13:27:36+01:00
Fray Junípero Serra - Vall d'Uixó;211;T;3;11;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3977574716661004, 39.45872629171394], ""type"": ""Point""}";39.45872629171394, -0.3977574716661004;2025-11-19T13:19:36+01:00
Archiduque Carlos - José María Mortes Lerma;213;T;7;8;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39697246591763863, 39.463165305912604], ""type"": ""Point""}";39.463165305912604, -0.39697246591763863;2025-11-19T13:20:02+01:00
Músico Ayllón - Francisco Dolz;215;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.39674846254882856, 39.46567131414367], ""type"": ""Point""}";39.46567131414367, -0.39674846254882856;2025-11-19T13:21:50+01:00
Manuel de Falla - Hernández Lázaro;221;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4028534760386356, 39.475270348637764], ""type"": ""Point""}";39.475270348637764, -0.4028534760386356;2025-11-19T13:28:09+01:00
Camp del Turia - Corts Valencianes;240;T;9;11;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40154745608135123, 39.495004413973305], ""type"": ""Point""}";39.495004413973305, -0.40154745608135123;2025-11-19T13:22:55+01:00
La Safor - Maestro Rodrigo;242;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4041974712326189, 39.487907391410516], ""type"": ""Point""}";39.487907391410516, -0.4041974712326189;2025-11-19T13:21:10+01:00
Valle de la Ballestera - Pio Baroja;244;T;8;9;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40613648554970433, 39.47850636088407], ""type"": ""Point""}";39.47850636088407, -0.40613648554970433;2025-11-19T13:24:30+01:00
Tres Cruces - Hospital General;246;T;7;13;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4065094941412157, 39.469090330003425], ""type"": ""Point""}";39.469090330003425, -0.4065094941412157;2025-11-19T13:24:16+01:00
Traginers - Pedrapiquers;260;T;19;1;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4072175039832668, 39.45955629873093], ""type"": ""Point""}";39.45955629873093, -0.4072175039832668;2025-11-19T13:18:46+01:00
Av. del Cid - Marconi;264;T;3;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.4144325204450301, 39.46916033373618], ""type"": ""Point""}";39.46916033373618, -0.4144325204450301;2025-11-19T13:19:07+01:00
Canal de Navarrés - Maestro Rodrigo;266;T;1;17;18;F;19/11/2025 12:29:32;"{""coordinates"": [-0.40637147642320165, 39.49028940014262], ""type"": ""Point""}";39.49028940014262, -0.40637147642320165;2025-11-19T13:25:47+01:00
Campamento, 81;269;T;8;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.42626353678444817, 39.49990744160243], ""type"": ""Point""}";39.49990744160243, -0.42626353678444817;2025-11-19T13:27:03+01:00
Moraira - Alta del Mar;273;T;13;2;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3332722584595297, 39.450305232524904], ""type"": ""Point""}";39.450305232524904, -0.3332722584595297;2025-11-19T13:21:35+01:00
Poeta Serrano Clavero - General Llorens;230;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}";39.49475040560395, -0.38678440634001116;2025-11-19T13:18:39+01:00
Giorgeta, 64;207;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.381905420300487, 39.45539327294658], ""type"": ""Point""}";39.45539327294658, -0.381905420300487;2025-11-19T13:25:11+01:00
Conde Torrefiel - Cecilio Plá;235;T;1;14;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3772033703255944, 39.49804541205544], ""type"": ""Point""}";39.49804541205544, -0.3772033703255944;2025-11-19T13:22:54+01:00
