Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Campoamor - Músico Ginés;76;T;3;16;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.343461277578989, 39.47008330347364], ""type"": ""Point""}";39.47008330347364, -0.343461277578989;2025-11-19T13:26:20+01:00
Francia - Pintor Maella;55;T;13;12;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34868630411595647, 39.45934326975421], ""type"": ""Point""}";39.45934326975421, -0.34868630411595647;2025-11-19T13:28:29+01:00
Alameda - Pintor Monleón;57;T;5;13;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3582563324315247, 39.46447629179199], ""type"": ""Point""}";39.46447629179199, -0.3582563324315247;2025-11-19T13:28:06+01:00
Baleares - Río Escalona;59;T;8;6;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055;2025-11-19T13:28:30+01:00
Colón, 44;70;T;15;1;17;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}";39.469213221319464, -0.3716462894107889;2025-11-19T13:27:05+01:00
Av. Puerto - Serrería;69;T;16;9;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3387212679875118, 39.46195227384504], ""type"": ""Point""}";39.46195227384504, -0.3387212679875118;2025-11-19T13:27:59+01:00
Blasco Ibañez - Mestre Ripoll;100;T;3;17;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674;2025-11-19T13:25:03+01:00
General Elio - Llano del Real;83;T;6;19;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3669703519914759, 39.47758533929587], ""type"": ""Point""}";39.47758533929587, -0.3669703519914759;2025-11-19T13:28:00+01:00
Serrería, 67;84;T;0;15;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.33522597686590844, 39.467123092394516], ""type"": ""Point""}";39.467123092394516, -0.33522597686590844;2025-11-19T13:23:07+01:00
Blasco Ibañez - Doctor Gómez Ferrer (Clínico);87;T;22;3;33;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36188033357859983, 39.47851834019109], ""type"": ""Point""}";39.47851834019109, -0.36188033357859983;2025-11-19T13:28:19+01:00
Ramiro de Maeztu - Peris Brell;72;T;2;11;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}";39.467257201162404, -0.34644628196214244;2025-11-19T13:27:59+01:00
Blasco Ibañez 166 - Pintor José Mongrell;99;T;0;21;21;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}";39.47134430635022, -0.3404842660990001;2025-11-19T13:24:06+01:00
C/GUILLEM DE CASTRO esquina con C/NA JORDANA;1;T;20;4;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38292927973315827, 39.48004223020643], ""type"": ""Point""}";39.48004223020643, -0.38292927973315827;2025-11-19T13:23:49+01:00
Plaza del Mercado - Taula de Canvis;7;T;7;11;19;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648, -0.3791853952972924;2025-11-19T13:24:50+01:00
Xátiva - Bailén (Estación del Norte);17;T;30;0;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3772593951806123, 39.46746831099193], ""type"": ""Point""}";39.46746831099193, -0.3772593951806123;2025-11-19T13:27:51+01:00
Plaza de la Reina - Mar;8;T;5;4;9;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3752982847143531, 39.473881223660634], ""type"": ""Point""}";39.473881223660634, -0.3752982847143531;2025-11-19T13:27:09+01:00
Hospital - Horno del Hospital;10;T;7;8;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.38261041097634013, 39.470816323984536], ""type"": ""Point""}";39.470816323984536, -0.38261041097634013;2025-11-19T13:19:25+01:00
Calle Salvá - Calle Poeta Querol;12;T;15;5;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}";39.47196722343732, -0.3740102862977963;2025-11-19T13:26:27+01:00
